nome,preco,imagem
,"R$59,40",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/1205/produto.png
Big Mass Pro Hipercalórico 3kg - Growth Supplements,"R$144,00",
BCAA (10:1:1) (200g) (em pó) - Growth Supplements,"R$50,40",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/13/bcaa-10-1-1-growth-supplements.png
HMB 90 Caps - Growth Supplements,"R$35,10",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/1256/produto-hmb.png
(TOP) Hipercalórico (sabor chocolate) (1KG) - Growth Supplements ,"R$49,50",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/82/hipercalorico-chocolate-01.jpg
BCAA (5:1:1) (200g) (em pó) - Growth Supplements,"R$45,90",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/22/produto-principal-nova.png
"Mais bem-estar, qualidade de vida e sistema imunológico fortalecido!","R$32,40",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/1221/produto.png
Hiper Mass (1kg) Sabor Chocolate - Growth Supplements,"R$36,00",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/81/hiper-mass-growth-2.png
Basic Whey Protein (1kg) - Growth Supplements,"R$37,80",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/11/img-product.png
Waxy Maize (1kg) - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/179/waxy-maize.webp
Maltodextrina (1kg) - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/90/maltodextrina.webp
Creatina Monohidratada 100g - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/71/creatina-monohidratada.webp
Vitamina E (75caps) - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/178/vitamina-e.webp
(TOP) Whey Protein Isolado (1KG) - Growth Supplements,"R$144,00",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/196/whey-isolado-growth-v2.png
Vitamina E  ULTRA 120 caps - Growth Supplements,0,
Caseinato de Cálcio 1kg - Growth Supplements,0,
Anti-OX 120 caps - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/10/anti-ox.webp
 D-RIBOSE 300GR - GROWTH SUPPLEMENTS ,"R$63,00",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/1501/small-d-ribose-growth-supplements.png
Vitamina C Ultra 450mg (120 caps) - Growth Supplements,0,
VITAMINA C 500MG 120COMP - GROWTH SUPPLEMENTS,0,
Vitamina C (120 caps) - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/173/vitamina-c.webp
Palatinose 1kg - Growth Supplements,10206,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/114/palatinose.webp
Óleo de Peixe - Ômega 3 (75 Softgel) - Growth Supplements,"R$22,50",
Dextrose (1kg) - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/74/dextrose-1kg.webp
COLÁGENO VERISOL 1000MG 120COMP - GROWTH SUPPLEMENTS,"R$54,00",https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/1444/small-colageno-verisol-1000mg-120comp-growth-supplements.png
Óleo de Peixe Ultra (75 softgel) - Growth Supplements,0,https://www.gsuplementos.com.br/upload/growth-layout-personalizado/produto/112/oleo-de-peixe-ultra.webp
ZMA (120 caps) - Growth Supplements,"R$22,68",
Vitamina D ULTRA (2000UI) 120 caps - Growth Supplements,0,
